Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2021-11-16,148.4031982421875,185.2906951904297,177.03500366210938,172.93594360351562,225.8000030517578,191.94935607910156,304.9051818847656,51.23769760131836,102.09834289550781,156.89181518554688,367.8856201171875,359.6593322753906,206.6555938720703,103.08439636230469,146.96961975097656,150.32296752929688,50.59701919555664,233.10426330566406,132.31661987304688,75.78619384765625,329.6620788574219,163.87815856933594,30.146381378173828,134.99652099609375,328.1128234863281,147.98875427246094,427.38189697265625,209.9214324951172,41.68818664550781,45.42261505126953
2021-11-17,150.8503875732422,185.67864990234375,177.4499969482422,171.6837615966797,226.6199951171875,189.66012573242188,305.82861328125,51.021949768066406,101.64041900634766,155.41012573242188,357.35345458984375,361.9695739746094,205.8341064453125,102.736328125,147.52073669433594,149.513916015625,50.31802749633789,233.31666564941406,132.29493713378906,74.42562866210938,329.88580322265625,163.7923126220703,29.206153869628906,134.91395568847656,322.8031921386719,145.59657287597656,426.7450866699219,200.04873657226562,41.423927307128906,45.032379150390625
2021-11-18,155.15505981445312,184.05482482910156,184.80299377441406,168.43380737304688,227.25,188.2025146484375,300.8343811035156,48.2083740234375,100.78620147705078,153.6814727783203,357.1891784667969,372.05352783203125,206.03012084960938,101.5180435180664,146.7256622314453,148.2230682373047,49.868045806884766,234.0460968017578,130.04713439941406,74.83109283447266,331.9772644042969,163.4203643798828,31.615629196166992,134.93228149414062,320.9883728027344,145.2335968017578,427.2392578125,198.3610382080078,41.03155517578125,45.41945266723633
2021-11-19,157.78897094726562,185.9132080078125,183.82850646972656,165.88162231445312,214.1300048828125,187.2868194580078,299.0273742675781,47.86678695678711,98.54946899414062,152.12075805664062,353.5567932128906,374.6570129394531,203.96701049804688,100.98721313476562,147.1683807373047,146.28675842285156,49.61604690551758,232.63333129882812,130.3817596435547,72.71366119384766,333.76702880859375,166.78701782226562,32.92317199707031,134.65716552734375,322.4538269042969,141.97576904296875,418.2376708984375,195.95140075683594,40.727256774902344,45.1751594543457
2021-11-22,158.2509002685547,182.89102172851562,178.6284942626953,163.35813903808594,209.89999389648438,189.09950256347656,294.7281188964844,49.08031463623047,100.3106918334961,152.27880859375,361.560791015625,374.7488098144531,203.64028930664062,101.35270690917969,145.23133850097656,149.40484619140625,49.92203903198242,234.0460968017578,130.69456481933594,73.56063079833984,330.5764465332031,166.17662048339844,31.896100997924805,135.5559539794922,320.0857238769531,146.01547241210938,415.8994140625,190.8004150390625,41.271785736083984,45.933406829833984
2021-11-23,158.63418579101562,184.51487731933594,179.0019989013672,163.3103485107422,209.1300048828125,191.8559112548828,289.3467102050781,49.70955276489258,102.41535186767578,149.18698120117188,370.85174560546875,374.36370849609375,201.64251708984375,101.63117980957031,146.13162231445312,152.97747802734375,50.2910270690918,236.04966735839844,130.54910278320312,74.60585021972656,328.4849548339844,164.18333435058594,31.68649673461914,137.06011962890625,317.83416748046875,149.1708984375,425.0150146484375,193.63931274414062,41.43994140625,46.26019287109375
2021-11-24,159.1550750732422,184.00967407226562,179.02049255371094,164.0368194580078,210.60000610351562,193.48175048828125,287.1127014160156,49.925296783447266,103.1990966796875,149.49322509765625,364.326171875,377.79229736328125,198.10446166992188,101.57894897460938,145.72244262695312,151.77749633789062,49.886043548583984,237.39773559570312,129.2178192138672,74.13729095458984,328.7087707519531,164.0688934326172,32.61275863647461,136.34474182128906,318.3485107421875,147.9701385498047,427.89520263671875,198.28298950195312,41.36787414550781,46.49180603027344
2021-11-26,154.11331176757812,181.41146850585938,175.22799682617188,149.89952087402344,199.2100067138672,185.68902587890625,282.1879577636719,49.14324188232422,100.83906555175781,146.3026123046875,355.3821105957031,369.1658020019531,194.37033081054688,100.77835845947266,144.776611328125,147.20489501953125,48.35606002807617,230.8421173095703,127.68289947509766,71.32608032226562,320.7027893066406,160.24449157714844,31.443952560424805,135.2533416748047,313.7676696777344,143.02755737304688,418.15216064453125,192.81982421875,41.47998809814453,45.97148513793945
2021-11-29,157.48428344726562,183.55859375,178.07850646972656,150.89356994628906,198.5,183.0634307861328,294.6288146972656,50.123046875,101.1384506225586,146.00628662109375,352.7810363769531,372.9427490234375,193.85690307617188,103.11920928955078,145.2768096923828,146.5685272216797,49.12105178833008,231.10987854003906,128.1993865966797,67.47862243652344,327.4635314941406,162.0088653564453,33.31344223022461,136.67486572265625,324.4239501953125,141.85475158691406,429.6441955566406,191.49305725097656,41.36787414550781,45.25129318237305
2021-11-30,162.45730590820312,179.41778564453125,175.35350036621094,145.57896423339844,197.85000610351562,180.662109375,282.9326477050781,49.29605484008789,99.39485168457031,143.1317901611328,347.7156982421875,367.2499084472656,188.7971649169922,101.90093994140625,141.8029022216797,144.38677978515625,47.570152282714844,227.09898376464844,123.69644165039062,67.49665069580078,321.5880126953125,161.4080047607422,32.614749908447266,132.6027069091797,321.4736022949219,136.7818603515625,422.24896240234375,189.03465270996094,40.25480651855469,44.61677169799805
